**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.37021071E-07 1.00000000E-04
-1.00000000E-04 2.75315038E-08 1.00000000E-04
-1.00000000E-04 1.78750498E-07 1.00000000E-04
-1.00000000E-04 -3.81031043E-08 1.00000000E-04
-1.00000000E-04 1.23435991E-06 1.00000000E-04
-1.00000000E-04 -9.49181084E-07 1.00000000E-04
-1.00000000E-04 -1.73175975E-14 1.00000000E-04
-1.00000000E-04 2.64225873E-14 1.00000000E-04
-1.00000000E-04 -9.10554239E-15 1.00000000E-04
-1.00000000E-04 1.04518592E-06 1.00000000E-04
-1.00000000E-04 -9.94224392E-07 1.00000000E-04
-1.00000000E-04 -8.37768058E-07 1.00000000E-04
-1.00000000E-04 1.98071733E-06 1.00000000E-04
-1.00000000E-04 -3.18162658E-07 1.00000000E-04
-1.00000000E-04 -2.39580439E-06 1.00000000E-04
-1.00000000E-04 3.31361876E-08 1.00000000E-04
-1.00000000E-04 4.18736188E-07 1.00000000E-04
-1.00000000E-04 9.52621660E-11 1.00000000E-04
-1.00000000E-04 -7.62149658E-07 1.00000000E-04
-1.00000000E-04 9.80683166E-07 1.00000000E-04
-1.00000000E-04 -8.90786167E-07 1.00000000E-04
-1.00000000E-04 1.21325587E-07 1.00000000E-04
-1.00000000E-04 -1.21201291E-07 1.00000000E-04
-1.00000000E-04 1.67556553E-06 1.00000000E-04
-1.00000000E-04 1.16387135E-06 1.00000000E-04
-1.00000000E-04 -1.86911144E-07 1.00000000E-04
-1.00000000E-04 4.73327848E-06 1.00000000E-04
-1.00000000E-04 -7.01711848E-14 1.00000000E-04
-1.00000000E-04 1.01421138E-13 1.00000000E-04
-1.00000000E-04 -3.13893360E-14 1.00000000E-04
-1.00000000E-04 -3.71898782E-05 1.00000000E-04
-1.00000000E-04 6.26436858E-06 1.00000000E-04
-1.00000000E-04 3.53360896E-05 1.00000000E-04
-1.00000000E-04 -2.43989251E-06 1.00000000E-04
-1.00000000E-04 2.95964837E-06 1.00000000E-04
-1.00000000E-04 -2.71816255E-06 1.00000000E-04
-1.00000000E-04 -1.61656811E-07 1.00000000E-04
-1.00000000E-04 5.71761741E-06 1.00000000E-04
-1.00000000E-04 -9.73997222E-07 1.00000000E-04
-1.00000000E-04 6.63831811E-06 1.00000000E-04
-1.00000000E-04 -4.98355622E-06 1.00000000E-04
-1.00000000E-04 -1.21694187E-05 1.00000000E-04
***************************************
Constraint: intX 	Node: 20 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -1.62509626E-06 1.00000000E-04
-1.00000000E-04 -5.89748444E-08 1.00000000E-04
-1.00000000E-04 -3.34221970E-06 1.00000000E-04
-1.00000000E-04 -1.30015546E-06 1.00000000E-04
-1.00000000E-04 -1.05914098E-05 1.00000000E-04
-1.00000000E-04 4.91983378E-06 1.00000000E-04
-1.00000000E-04 1.30179500E-14 1.00000000E-04
-1.00000000E-04 -2.41297183E-14 1.00000000E-04
-1.00000000E-04 1.12366795E-14 1.00000000E-04
-1.00000000E-04 4.54055787E-05 1.00000000E-04
-1.00000000E-04 4.15401926E-06 1.00000000E-04
-1.00000000E-04 -4.30517087E-05 1.00000000E-04
-1.00000000E-04 -1.44400895E-05 1.00000000E-04
-1.00000000E-04 -1.41500488E-05 1.00000000E-04
-1.00000000E-04 2.14088801E-05 1.00000000E-04
-1.00000000E-04 -8.69287724E-08 1.00000000E-04
-1.00000000E-04 -1.16418061E-05 1.00000000E-04
-1.00000000E-04 1.34067854E-06 1.00000000E-04
-1.00000000E-04 -2.54521418E-06 1.00000000E-04
-1.00000000E-04 -4.60524093E-06 1.00000000E-04
-1.00000000E-04 2.47790510E-05 1.00000000E-04
-1.00000000E-04 1.00520013E-06 1.00000000E-04
-1.00000000E-04 -1.33791192E-07 1.00000000E-04
-1.00000000E-04 2.92734717E-06 1.00000000E-04
-1.00000000E-04 2.12326309E-06 1.00000000E-04
-1.00000000E-04 6.13077511E-06 1.00000000E-04
-1.00000000E-04 3.93726513E-06 1.00000000E-04
-1.00000000E-04 -5.48840373E-14 1.00000000E-04
-1.00000000E-04 6.51340590E-14 1.00000000E-04
-1.00000000E-04 -1.01569550E-14 1.00000000E-04
-1.00000000E-04 -6.89265196E-05 1.00000000E-04
-1.00000000E-04 5.75765241E-06 1.00000000E-04
-1.00000000E-04 6.35334942E-05 1.00000000E-04
-1.00000000E-04 5.65587846E-06 1.00000000E-04
-1.00000000E-04 2.04697925E-05 1.00000000E-04
-1.00000000E-04 -1.70622677E-05 1.00000000E-04
-1.00000000E-04 -1.48240976E-07 1.00000000E-04
-1.00000000E-04 1.28681632E-05 1.00000000E-04
-1.00000000E-04 -1.86156051E-06 1.00000000E-04
-1.00000000E-04 8.39240725E-06 1.00000000E-04
-1.00000000E-04 -4.68146874E-06 1.00000000E-04
-1.00000000E-04 -2.73946148E-05 1.00000000E-04
***************************************
Constraint: intXdot 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -5.46820144E-06 1.00000000E-04
-1.00000000E-04 1.97807051E-08 1.00000000E-04
-1.00000000E-04 7.69263935E-06 1.00000000E-04
-1.00000000E-04 -4.27597275E-06 1.00000000E-04
-1.00000000E-04 8.39677943E-05 1.00000000E-04
